,Outlet_ID,area(sqft),W_1_total_volume,W_2_total_volume,W_3_total_volume,W_4_total_volume,W_5_total_volume,W_6_total_volume,W_7_total_volume,W_8_total_volume,W_9_total_volume,W_10_total_volume,W_11_total_volume,W_12_total_volume,W_1_total_earning,W_2_total_earning,W_3_total_earning,W_4_total_earning,W_5_total_earning,W_6_total_earning,W_7_total_earning,W_8_total_earning,W_9_total_earning,W_10_total_earning,W_11_total_earning,W_12_total_earning,IP1_total_units,IP2_total_units,IP3_total_units,IP4_total_units,IP5_total_units,BP1_total_units,BP2_total_units,BP3_total_units,BP4_total_units,BP5_total_units,total_volume,total_earning
0,ID7203,5660,677.8000000000001,480.4,561.0000000000001,516.6,560.4000000000001,645.4000000000001,598.4,627.6000000000001,461.80000000000007,496.8,876.4000000000001,446.6,349830.0,248610.0,275200.0,259650.0,271830.0,327390.0,301010.0,320700.0,227830.0,241650.0,437660.0,231560.0,6361.0,7295.0,9127.0,5520.0,6443.0,0.0,0.0,0.0,0.0,0.0,6949.200000000001,3492920.0
1,ID1878,4138,519.4000000000001,409.6,561.8,744.8000000000001,642.6000000000001,662.6000000000001,576.6,700.2,662.4,792.2,442.0,493.80000000000007,258390.0,210660.0,282580.0,379070.0,322280.0,330430.0,277250.0,350880.0,330170.0,401670.0,225080.0,237880.0,7860.0,6622.0,6856.0,7954.0,6748.0,0.0,0.0,0.0,0.0,0.0,7208.000000000001,3606340.0
2,ID1740,5546,748.4,641.6000000000001,740.4,612.0000000000001,764.4000000000001,638.0,427.6,562.4,414.4000000000001,616.2,738.6000000000001,613.4000000000001,371360.0,321870.0,369650.0,300560.0,385470.0,316730.0,215310.0,277610.0,211340.0,312190.0,370450.0,303370.0,7625.0,8116.0,7837.0,7192.0,6817.0,0.0,0.0,0.0,0.0,0.0,7517.4000000000015,3755910.0
3,ID4366,5134,682.0,614.4000000000001,768.6000000000001,807.2,465.6000000000001,490.80000000000007,636.2,605.0,795.0,994.9999999999999,485.20000000000005,715.8,349180.0,310920.0,383500.0,404840.0,224220.0,254280.0,321540.0,300490.0,408690.0,497280.0,243100.0,362090.0,6530.0,6259.0,9232.0,8759.0,9524.0,0.0,0.0,0.0,0.0,0.0,8060.8,4060130.0
4,ID8358,4100,578.2,837.0,686.6,910.4000000000001,216.00000000000003,719.6,632.8,699.4000000000001,747.6,566.2,467.59999999999997,814.2,286650.0,422100.0,340710.0,454070.0,101010.0,354670.0,309570.0,347220.0,383510.0,282780.0,233040.0,403370.0,7057.0,9562.0,7652.0,6241.0,8866.0,0.0,0.0,0.0,0.0,0.0,7875.6,3918700.0
5,ID4722,5593,730.2,898.4000000000001,504.4,898.0,923.2000000000002,733.8000000000001,656.6,513.4000000000001,596.8,600.0,641.2,636.5999999999999,366160.0,453210.0,247690.0,451360.0,456520.0,372850.0,337410.0,251460.0,309570.0,291980.0,318860.0,310660.0,7103.0,8264.0,8407.0,9065.0,8824.0,0.0,0.0,0.0,0.0,0.0,8332.6,4167730.0
6,ID5579,4184,491.20000000000005,602.8000000000001,547.2,492.2,506.0,467.40000000000003,387.6,741.6,494.6,549.2,789.2,362.20000000000005,240880.0,312310.0,268390.0,253870.0,254580.0,231940.0,193800.0,377000.0,246390.0,278100.0,392100.0,183540.0,7371.0,4853.0,6583.0,6577.0,6772.0,0.0,0.0,0.0,0.0,0.0,6431.2,3232900.0
7,ID3876,4063,521.8,546.0,288.0,399.4,870.4000000000001,661.0,562.4000000000001,436.0,834.8000000000001,708.0000000000001,543.2,803.4,269290.0,271230.0,140640.0,203790.0,435600.0,333320.0,284620.0,219030.0,423070.0,353780.0,281350.0,410960.0,6575.0,6079.0,10027.0,6223.0,6968.0,0.0,0.0,0.0,0.0,0.0,7174.4,3626680.0
8,ID7275,3162,519.0000000000001,521.2,672.6,534.8000000000001,615.4,365.6,490.6,465.6,543.0,581.5999999999999,559.0000000000001,886.0,253820.0,257960.0,330790.0,262790.0,305560.0,186690.0,253350.0,225450.0,274870.0,291470.0,288020.0,445260.0,6041.0,8197.0,8080.0,6813.0,4641.0,0.0,0.0,0.0,0.0,0.0,6754.4,3376030.0
9,ID3726,5537,469.20000000000005,667.8000000000001,724.5999999999999,374.40000000000003,670.6,646.4,346.20000000000005,731.8000000000002,518.4,743.2,696.8000000000001,190.40000000000003,225560.0,334130.0,359400.0,188230.0,332440.0,327630.0,168910.0,371870.0,258160.0,373820.0,343560.0,86990.0,8025.0,8295.0,6375.0,4733.0,6471.0,0.0,0.0,0.0,0.0,0.0,6779.799999999999,3370700.0
